week,word,pos,clue
"Week 6","I","pron.","我"
"Week 6","am","v.","是（第一人稱）"
"Week 6","it","pron.","它"
"Week 6","is","v.","是（第三人稱單數）"
"Week 6","pen","n.","鋼筆"
"Week 6","bag","n.","袋子"
"Week 7","desk","n.","書桌"
"Week 7","chair","n.","椅子"
"Week 7","yes","adv.","是／對"
"Week 7","no","adv.","不／否"
"Week 7","book","n.","書"
"Week 7","pencil","n.","鉛筆"
"Week 8","name","n.","名字"
"Week 8","eraser","n.","橡皮擦"
"Week 8","picture","n.","圖片"
"Week 8","three","num.","三"
"Week 8","map","n.","地圖"
"Week 8","clock","n.","時鐘"
"Week 9","paper","n.","紙"
"Week 9","yellow","n./adj.","黃色"
"Week 9","crayon","n.","蠟筆"
"Week 9","one","num.","一"
"Week 9","two","num.","二"
"Week 9","three","num.","三"
"Week 10","four","num.","四"
"Week 10","five","num.","五"
"Week 10","six","num.","六"
"Week 10","seven","num.","七"
"Week 10","eight","num.","八"
"Week 10","nine","num.","九"
"Week 11","ten","num.","十"
"Week 11","say","v.","說"
"Week 11","read","v.","讀"
"Week 11","sky","n.","天空"
"Week 11","bird","n.","鳥"
"Week 11","sun","n.","太陽"
"Week 12","free","adj.","自由的／免費的"
"Week 12","rock","n.","岩石"
"Week 12","star","n.","星星"
"Week 12","cloud","n.","雲"
"Week 12","moon","n.","月亮"
"Week 12","flower","n.","花"
"Week 13","river","n.","河流"
"Week 13","butterfly","n.","蝴蝶"
"Week 13","draw","v.","畫"
"Week 13","listen","v.","聽"
"Week 13","point","v.","指"
"Week 13","sing","v.","唱歌"
"Week 14","hand","n.","手"
"Week 14","wall","n.","牆壁"
"Week 14","tablet","n.","平板電腦"
"Week 14","stick","n.","棍子"
"Week 14","sit","v.","坐"
"Week 14","stand","v.","站"
"Week 15","brother","n.","兄弟"
"Week 15","father","n.","父親"
"Week 15","mother","n.","母親"
"Week 15","parents","n.","父母"
"Week 15","sister","n.","姊妹"
"Week 15","me","pron.","我（受格）"
"Week 16","grand","adj.","宏偉的"
"Week 16","family","n.","家庭"
"Week 16","short","adj.","矮的／短的"
